SampledDate,% Volatile Suspended Solids,Ammonia as N,Analysis Date/Time,Apparent Color,Arsenic,Biochemical Oxygen Demand,Cadmium,Chemical Oxygen Demand,Chromium,Cobalt,Copper,Lead,Mercury,Method Reference,Molybdenum,Nickel,Phosphorus-total,SARS-COV2,Sample Amount,Selenium,Settleable Solids,Subcontract Lab ID,Sulfur,TSS - Change in Wt,Total Nitrogen,Total Suspended Solids,True Color,Volatile Acids,Volatile Suspended Solids,Zinc,pH,pH Apparent Color
2025-09-29,88,30.1,,2510,,600,,1000,,,,,,,,,,,1000,,10,,31.3,1.56,,352,420,284,308,,6.26,6.26
2025-09-30,86,48.7,,2770,,740,,1200,,,,,,,,,,,1000,,11,,30.2,0.93,,376,410,309,325,,6.24,6.24
2025-10-01,92,25.1,,2940,,641,,1150,,,,,,,,,,,1000,,15,,13.5,0.51,,492,530,345,453,,6.09,6.09
2025-10-02,97,34.9,,1600,,625,,270,,,,,,,,,,,1000,,10.5,,13.2,1.53,,323,345,281,313,,6.33,6.33
2025-10-03,90,87,,2570,,523,,990,,,,,,,,,,,1000,,4,,20,2.82,,257,760,290,231,,6.78,6.78
2025-10-04,85,58.5,,2900,,545,,1500,,,,,,,,,,,1000,,8,,9.4,3.65,,289,400,161,247,,6.53,6.53
2025-10-05,93,29.9,,2720,,688,,1350,,,,,,,,,11.5,,1000,,10,,11.4,1.21,67.5,330,510,330,306,,6.34,6.34
2025-10-06,86,23.2,,3200,,630,,1350,,,,,,,,,,12225,1000,,11,,15.3,1.39,,436,460,278,376,,6.32,6.32
2025-10-07,67,15.7,,1980,,431,,978,,,,,,,,,,,1000,,7,,30.4,1.87,,401,150,113,267,,6.15,6.15
2025-10-08,90,23,,2360,,748,,1340,,,,,,,,,,,1000,,7,,18.6,1.69,,385,520,299,346,,6.48,6.48
2025-10-09,89,25.5,,2550,,752,,1380,,,,,,,,,,,1000,,11,,37.2,1.66,,360,370,315,319,,6.03,6.03
2025-10-10,89,57,,1750,,603,,1370,,,,,,,,,,,1000,,8,,18.1,1.01,,344,610,181,305,,6.45,6.45
2025-10-11,92,39.7,,2055,,518,,880,,,,,,,,,,,1000,,9,,16.7,1.17,,341,660,287,313,,6.35,6.35
2025-10-12,96,35.2,,1900,,656,,1050,,,,,,,,,,,1000,,12,,16.5,2.97,,311,400,169,298,,6.38,6.35
2025-10-13,96,44.7,,3220,,662,,1300,,,,,,,,,,,1000,,6,,16,4.60,,241,360,406,231,,6.14,6.14
2025-10-14,97,42.6,,1220,,621,,1412,,,,,,,,,,,1000,,5,,33.8,0.48,,207,200,372,201,,6.27,6.27
2025-10-15,95,23.8,,2440,,536,,1360,,,,,,,,,,,1000,,6,,32.9,1.63,,247,880,345,235,,6.57,6.57
2025-10-16,96,17.2,,2360,,569,,1220,,,,,,,,,,,1000,,7,,11.3,1.55,,290,800,290,278,,6.99,6.99
