SampledDate,% Volatile Suspended Solids,Ammonia as N,Analysis Date/Time,Arsenic,Biochemical Oxygen Demand,Cadmium,Calcium,Chemical Oxygen Demand,Chromium,Cobalt,Copper,Dissolved Oxygen,Hardness,LC50 Static 48Hr Acute Ceriodaphnia,LC50 Static 48Hr Acute Pimephales,Lead,Magnesium,Mercury,Method Reference,Molybdenum,Nickel,Oil and Grease (HEM),Organic Nitrogen,Phosphorus-total,Sample Amount,Selenium,Settleable Solids,Soluble BOD,Subcontract Lab ID,Sulfur,TSS - Change in Wt,Total Alkalinity (as CaCO3),Total Nitrogen,Total Suspended Solids,Volatile Suspended Solids,Zinc,pH
2024-08-07,93,25.8,,,246,,,540,,,,6.76,,,,,,,,,,,,,1000,,<0.5,247,,26.8,4.74,,,82,77,,7.31
2024-08-08,99,31.3,,,342,,,629,,,,7.78,,,,,,,,,,,,,1000,,<0.5,284,,15.1,1.35,,,59,59,,7.37
2024-08-09,92,39.2,,,175,,,414,,,,5.68,,,,,,,,,,,,,1000,,<0.5,109,,34.6,2.31,,,69,64,,7.48
2024-08-10,92,29,,,114,,,362,,,,5.72,,,,,,,,,,,,,1000,,<0.5,91,,35.7,2.96,,,86,80,,7.48
2024-08-11,100,28.2,,,117,,,346,,,,2.56,,,,,,,,,,,,,1000,,<0.5,84,,36,2.57,,,74,74,,7.47
2024-08-12,96,27.8,,,89,,,364,,,,7.67,,,,,,,,,,,,,1000,,<0.5,51,,32.1,0.40,,,83,80,,7.51
2024-08-13,98,28.2,,,137,,,371,,,,8.20,,,,,,,,,,,,,1000,,<0.5,73,,31,3.00,,,77,76,,7.44
2024-08-14,99,32.7,,,168,,,465,,,,8.00,,,,,,,,,,,,,1000,,<0.5,101,,23.4,0.58,,,114,113,,7.45
2024-08-15,93,25.3,,,162,,,395,,,,5.45,,,,,,,,,,,,,1000,,<0.5,85,,26.9,0.88,,,102,95,,7.31
2024-08-16,97,27.3,,,147,,,432,,,,2.82,,,,,,,,,,,,,1000,,<0.5,83,,30,0.09,,,112,109,,7.43
2024-08-17,98,32.5,,,211,,,528,,,,0.51,,,,,,,,,,,,,1000,,<0.5,148,,20.6,0.74,,,135,132,,7.45
2024-08-18,95,35.1,,,106,,,514,,,,7.44,,,,,,,,,,,,,1000,,<0.5,130,,24,0.59,,,119,113,,7.04
2024-08-19,98,26.7,,,102,,,336,,,,4.31,,,,,,,,,,,,,1000,,<0.5,49,,36.3,0.22,,,91,89,,7.44
2024-08-20,91,26.5,,,107,,,332,,,,6.76,,,,,,,,,,,,,1000,,<0.5,64,,40.9,1.80,,,67,61,,7.37
2024-08-21,89,26.7,,,79,,,306,,,,8.24,,,,,,,,,,,,,1000,,<0.5,52,,28.7,1.41,,,57,50,,7.43
2024-08-22,95,26.6,,,93,,,313,,,,8.04,,,,,,,,,,,,,1000,,<0.5,42,,34.6,0.55,,,54,51,,7.58
2024-08-23,88,21.4,,,97,,,329,,,,3.62,,,,,,,,,,,,,1000,,<0.5,54,,29.2,1.11,,,63,56,,7.36
2024-08-24,93,25.8,,,105,,,341,,,,8.10,,,,,,,,,,,,,1000,,<0.5,58,,23.5,0.47,,,64,60,,7.39
2024-08-25,91,36.8,,,153,,,442,,,,7.31,,,,,,,,,,,,,1000,,<0.5,81,,18.2,0.20,,,98,90,,7.51
2024-08-26,92,29.2,,,124,,,395,,,,0.95,,,,,,,,,,,,,1000,,<0.5,76,,22.5,0.24,,,85,78,,7.45
2024-08-27,97,23.9,,,91,,,313,,,,4.43,,,,,,,,,,,,,1000,,<0.5,58,,29.5,0.52,,,76,74,,7.45
2024-08-28,95,39.4,,,104,,,334,,,,8.45,,,,,,,,,,,,,1000,,<0.5,65,,25.6,0.16,,,64,61,,7.53
2024-08-29,97.14285714,33,,,105,,,357,,,,8.28,,,,,,,,,,,,,1000,,<0.5,56,,27.4,4.96,,,35,34,,7.51
2024-08-30,97,34.2,,,94,,,381,,,,5.68,,,,,,,,,,,,,1000,,<0.5,40,,46.1,0.33,,,92,90,,7.43
2024-08-31,92,29.7,,,82,,,455,,,,5.98,,,,,,,,,,,,,1000,,<0.5,35,,45.3,2.75,,,80,74,,7.47
2024-09-01,100,27.6,,,66,,,381,,,,5.95,,,,,,,,,,,,,1000,,<0.5,26,,34.3,3.92,,,64,64,,7.49
2024-09-02,97,36,,,58,,,325,,,,5.84,,,,,,,,,,,,,1000,,<0.5,27,,34.6,0.96,,,63,61,,7.58
2024-09-03,96,35.1,,,68,,,367,,,,8.83,,,,,,,,,,,,,1000,,<0.5,40,,31.5,2.68,,,40,39,,7.53
2024-09-04,97,32.6,,,77,,,,,,,8.30,,,,,,,,,,,11.2,6.66,1000,,<0.5,35,,38.3,2.69,,43.8,56,54,,7.55
2024-09-05,91,30.1,,,85,,,362,,,,6.77,,,,,,,,,,,,,1000,,<0.5,43,,30.2,1.82,,,60,55,,7.49
2024-09-06,96,32.5,,,118,,,422,,,,7.94,,,,,,,,,,,,,1000,,<0.5,53,,24.2,0.36,,,83,80,,7.46
2024-09-07,92,28.7,,,104,,,409,,,,1.98,,,,,,,,,,,,,1000,,<0.5,50,,22,0.28,,,72,67,,7.45
2024-09-08,99,29.1,,,102,,,405,,,,8.18,,,,,,,,,,,,,1000,,<0.5,42,,26.5,1.02,,,59,58,,7.44
2024-09-09,97,,,,134,,,435,,,,5.37,,,,,,,,,,,,,1000,,<0.5,62,,19.2,0.32,,,63,62,,7.44
2024-09-10,98,28.8,,,142,,,546,,,,6.70,,,,,,,,,,,,,1000,,<0.5,83,,18.3,0.09,,,110,107,,7.50
2024-09-11,99,24.7,,,110,,,428,,,,6.10,,,,,,,,,,,,,1000,,<0.5,67,,18.9,0.96,,,52,52,,7.36
2024-09-12,95,18.9,,,156,,,513,,,,6.31,,,,,,,,,,,,,1000,,<0.5,53,,33.9,3.18,,,126,119,,7.51
2024-09-13,92,8.2,,,93,,,300,,,,4.75,,,,,,,,,,,,,1000,,<0.5,35,,26.4,3.92,,,84,78,,7.07
2024-09-14,91,9.8,,,36,,,161,,,,8.99,,,,,,,,,,,,,1000,,<0.5,18,,26.5,4.25,,,35,32,,7.40
2024-09-15,96,25,,,64,,,261,,,,6.04,,,,,,,,,,,,,1000,,<0.5,31,,24.7,1.16,,,52,50,,7.57
2024-09-16,93,24.6,,,125,,,296,,,,0.75,,,,,,,,,,,,,1000,,<0.5,69,,23.1,2.33,,,100,93,,7.35
2024-09-17,97,24.5,,,55,,,227,,,,5.96,,,,,,,,,,,,,1000,,<0.5,23,,36.6,0.54,,,56,54,,7.26
2024-09-18,87,40.5,,,51,,,294,,,,5.40,,,,,,,,,,,,,1000,,<0.5,25,,38.2,0.62,,,33,28,,7.50
2024-09-19,98,32.2,,,21,,,291,,,,7.17,,,,,,,,,,,,,1000,,<0.5,28,,38.1,2.49,,,36,36,,7.56
2024-09-20,91,29.2,,,49,,,271,,,,6.31,,,,,,,,,,,,,1000,,<0.5,30,,24.3,2.56,,,47,43,,7.49
2024-09-21,91,24.8,,,59,,,254,,,,4.60,,,,,,,,,,,,,1000,,<0.5,28,,25.5,0.44,,,69,62,,7.61
2024-09-22,93,38.1,,,95,,,457,,,,1.50,,,,,,,,,,,,,1000,,<0.5,39,,22.3,0.94,,,85,79,,7.50
2024-09-23,88,38.6,,,123,,,507,,,,0.62,,,,,,,,,,,,,1000,,<0.5,85,,25.6,0.80,,,126,110,,7.51
2024-09-24,90,35,,,131,,,532,,,,3.20,,,,,,,,,,,,,1000,,<0.5,66,,31.6,0.76,,,118,107,,7.59
2024-09-25,93,33.3,,,117,,,414,,,,3.08,,,,,,,,,,,,,1000,,<0.5,62,,30.3,3.60,,,83,77,,7.44
2024-09-26,90,29.3,,,109,,,418,,,,3.92,,,,,,,,,,,,,1000,,<0.5,55,,35.8,1.29,,,109,98,,7.71
2024-09-27,90,32.2,,,171,,,1424,,,,1.01,,,,,,,,,,,,,1000,,<0.5,102,,24.2,0.16,,,188,170,,7.41
2024-09-28,91,16,,,139,,,451,,,,1.46,,,,,,,,,,,,,1000,,<0.5,48,,29.8,0.95,,,190,174,,7.08
2024-09-29,92,16.3,,,57,,,243,,,,5.69,,,,,,,,,,,,,1000,,<0.5,26,,37.7,0.15,,,68,63,,7.32
2024-09-30,92,29,,,71,,,307,,,,7.89,,,,,,,,,,,,,1000,,<0.5,28,,35.8,2.07,,,58,53,,7.37
2024-10-01,93,26,,,55,,,562,,,,6.60,,,,,,,,,,,,,1000,,<0.5,28,,36,3.04,,,59,55,,7.62
2024-10-02,93,14.3,10/4/2024 13:27,<0.0100,40,<0.0020,,238,<0.0050,<0.0100,0.0189,7.28,,,,<0.0060,,<0.00020,EPA-245.1,0.0144,0.0166,,,,1000,<0.0100,<0.5,18,Waypoint Analytical LLC.,32.2,4.49,,,53,50,0.067,7.51
2024-10-03,92,18.8,,,75,,,311,,,,3.22,,,,,,,,,,,,,1000,,<0.5,38,,35.9,0.64,,,47,43,,7.42
2024-10-04,92,18.8,,,81,,,286,,,,3.11,,,,,,,,,,,,,1000,,<0.5,47,,27.6,0.18,,,56,52,,7.36
2024-10-05,93,16.7,,,82,,,309,,,,1.34,,,,,,,,,,,,,1000,,<0.5,50,,24,0.94,,,64,60,,7.26
2024-10-06,96,18.6,,,55,,,249,,,,5.56,,,,,,,,,,,4.8,4.95,1000,,<0.5,193,,31.9,2.11,,23.4,41,39,,7.31
2024-10-07,94,20.6,,,55,,,156,,,,7.15,,,,,,,,,,,,,1000,,<0.5,110,,32.8,0.40,,,36,34,,7.34
2024-10-08,94,20,,,66,,,249,,,,3.99,,,,,,,,,,,,,1000,,<0.5,46,,34,0.93,,,43,40,,7.43
2024-10-09,93,17.2,,,65,,,269,,,,4.62,,,,,,,,,,,,,1000,,<0.5,40,,27.5,1.04,,,48,45,,7.50
2024-10-10,99,32.1,,,93,,,321,,,,4.73,,,,,,,,,,,,,1000,,<0.5,52,,20.1,0.92,,,54,53,,7.62
2024-10-11,94,70.1,,,184,,,623,,,,7.88,,,,,,,,,,,,,1000,,<0.5,144,,15,0.79,,,102,95,,7.65
2024-10-12,97,76.6,,,298,,,765,,,,0.68,,,,,,,,,,,,,1000,,<0.5,160,,17.6,1.09,,,138,133,,7.15
2024-10-13,96,61.5,,,102,,,428,,,,2.99,,,,,,,,,,,,,1000,,<0.5,51,,32.3,1.44,,,63,60,,7.76
